external_id,source,title,source_url,content_type,duration_minutes,description,skills,prerequisites,difficulty,is_free,language
MS-AI-AGENTS-FOR-BEGINNERS,Microsoft,AI Agents for Beginners,https://github.com/microsoft/ai-agents-for-beginners,course,720,12 self-paced lessons on GitHub. Microsoft Agent Framework with Azure AI Foundry. Solid free intro to agent vocabulary.,"agents,microsoft,azure-ai-foundry,agent-framework","python,genai-basics",beginner,true,en
MS-LEARN-AI-AGENT-AZURE,Microsoft Learn,Develop an AI agent with Azure AI Agent Service,https://learn.microsoft.com/en-us/training/paths/develop-ai-agent-azure-ai-agent-service/,course,300,Build an agent on Azure AI Agent Service. Tools knowledge sources and conversation flow.,"agents,azure,azure-ai-agent-service","python,azure-fundamentals",intermediate,true,en
MS-LEARN-COPILOT-STUDIO,Microsoft Learn,Create agents in Microsoft Copilot Studio,https://learn.microsoft.com/en-us/training/paths/create-agents-microsoft-copilot-studio/,course,240,Low-code agent building with topics tools and knowledge sources. Microsoft Applied Skills assessment-based credential available.,"copilot-studio,low-code,microsoft","",beginner,true,en
MS-AI-900,Microsoft Learn,Microsoft AI-900 Azure AI Fundamentals,https://learn.microsoft.com/en-us/credentials/certifications/azure-ai-fundamentals/,course,900,Foundational Azure AI cert prep. Free training; exam $99.,"azure,ai-fundamentals,certification","",beginner,true,en
MS-AI-102,Microsoft Learn,Microsoft Certified: Azure AI Engineer Associate (AI-102),https://learn.microsoft.com/en-us/credentials/certifications/azure-ai-engineer/,course,1800,Recognized credential for Azure AI engineers. Free training; exam $165.,"azure,ai-engineering,certification","azure-fundamentals,python",intermediate,false,en
AWS-SKILL-BUILDER-STD,AWS Skill Builder,AWS Skill Builder Standard Plan,https://skillbuilder.aws/,course,0,Hundreds of free digital courses on AWS. Free tier covers most foundational and many specialty topics.,"aws,cloud,multi-topic","",beginner,true,en
AWS-AIF-C01,AWS Skill Builder,AWS Certified AI Practitioner Exam Prep (AIF-C01),https://aws.amazon.com/certification/certified-ai-practitioner/,course,1200,Foundational AI/ML cert. Free training on Skill Builder; exam $100.,"aws,ai-fundamentals,bedrock,certification","aws-cloud-practitioner",beginner,false,en
AWS-MLA-C01,AWS Skill Builder,AWS Certified Machine Learning Engineer Associate (MLA-C01),https://aws.amazon.com/certification/certified-machine-learning-engineer-associate/,course,2400,Core hands-on AI/ML cert. Covers SageMaker MLOps generative AI deployment Bedrock integration. Exam $150.,"aws,sagemaker,mlops,bedrock,certification","python,aws-cloud-practitioner",intermediate,false,en
AWS-AIP-C01,AWS Skill Builder,AWS Certified Generative AI Developer Professional (AIP-C01),https://aws.amazon.com/certification/certified-generative-ai-developer-professional/,course,3600,Professional-tier agent-builder cert. Bedrock AgentCore RAG vector databases responsible AI. Exam $300.,"aws,bedrock,agentcore,rag,vector-databases,certification","aws-mla-c01,python,llm-basics",advanced,false,en
AWS-WORKSHOPS-BEDROCK-AGENTS,AWS Workshops,Bedrock Agents Hands-On Workshop,https://workshops.aws/?tag=Bedrock,lab,180,Free hands-on labs for Amazon Bedrock Agents and AgentCore.,"aws,bedrock,agentcore,hands-on","aws-account",intermediate,true,en
GOOGLE-SKILLS-AGENTIC-AI,Google Skills,Agentic AI on Google Cloud Learning Path,https://www.cloudskillsboost.google/paths/116,course,1200,Agent Development Kit (ADK) Agent Garden Agent Engine Gemini Enterprise Agent Platform. Free with Google account.,"google-cloud,gemini,agent-development-kit,vertex-ai","python,gcp-fundamentals",intermediate,true,en
GOOGLE-SKILLS-GEN-AI-LEADER,Google Skills,Generative AI Leader Certification Path,https://www.cloudskillsboost.google/paths/279,course,900,Generative AI Leader certification preparation. Free training; exam ~$99.,"google-cloud,genai-strategy,leadership","",beginner,true,en
GOOGLE-CODELABS-VERTEX-AGENT,Google Codelabs,Building AI Agents with Vertex AI Agent Builder,https://codelabs.developers.google.com/?cat=agents,lab,180,Free self-paced codelab. Build a working agent on Vertex AI / Gemini Enterprise.,"google-cloud,vertex-ai,gemini","python,gcp-fundamentals",intermediate,true,en
GOOGLE-CLOUD-FREE-CREDITS,Google Cloud,Google Cloud Free Tier and Credits,https://cloud.google.com/free,interactive,30,$300 in free credits valid 90 days for new Google Cloud customers plus always-free tier resources.,"google-cloud,free-credits","",beginner,true,en
COURSERA-PYTHON-FOR-EVERYBODY,Coursera,Python for Everybody (audit),https://www.coursera.org/specializations/python,course,2100,University of Michigan specialization. Audit free; certificate paid.,"python,programming-basics","",beginner,true,en
COURSERA-DLAI-LLMS,Coursera,Generative AI with Large Language Models,https://www.coursera.org/learn/generative-ai-with-llms,course,960,DeepLearning.AI + AWS. Goes deeper on the model side than free short courses; understand fine-tuning and RLHF.,"llms,fine-tuning,rlhf,deeplearning-ai","python,ml-basics",intermediate,false,en
COURSERA-VANDERBILT-AGENTS,Coursera,AI Agents and Agentic AI in Python (Vanderbilt),https://www.coursera.org/specializations/ai-agents-agentic-ai-python,course,1800,Builds agent framework from scratch in Python. Great for analysts who want depth not just API calls. Dr. Jules White.,"agents,python,llm-tools,from-scratch","python,oop",intermediate,false,en
COURSERA-IBM-RAG-AGENTIC,Coursera,IBM RAG and Agentic AI Professional Certificate,https://www.coursera.org/professional-certificates/ibm-rag-and-agentic-ai,course,2400,Full Professional Certificate covering LangChain RAG vector databases and MCP integration. Strong end-to-end if you want one structured program.,"langchain,rag,vector-databases,mcp,ibm","python,llm-basics",intermediate,false,en
COURSERA-IBM-AGENT-WORKFLOWS,Coursera,Building AI Agents and Agentic Workflows (IBM),https://www.coursera.org/specializations/ai-agents-and-agentic-workflows,course,1200,Three-course specialization covering LangGraph CrewAI BeeAI and AG2/AutoGen with hands-on labs.,"langgraph,crewai,beeai,autogen,multi-agent","python,llm-basics",intermediate,false,en
COURSERA-SNOWFLAKE-GENAI,Coursera,Snowflake Generative AI Professional Certificate,https://www.coursera.org/professional-certificates/snowflake-generative-ai,course,1500,Snowflake-authored. Builds B2B sales intelligence agent + insurance customer-service agent end-to-end with Cortex Agents Cortex Analyst Cortex Search semantic models and MCP. Most directly aligned with BI-to-agent transition.,"snowflake,cortex-agents,cortex-analyst,semantic-models,mcp","sql,python,bi-fundamentals",intermediate,false,en
COURSERA-DATABRICKS-MOSAIC,Coursera,Databricks Mosaic AI,https://www.coursera.org/learn/databricks-mosaic-ai,course,720,Mosaic AI Agent Framework MLflow integration Vector Search and a fraud-detection case study.,"databricks,mosaic-ai,mlflow,vector-search","python,sql,databricks-basics",intermediate,false,en
EDX-IBM-RAG-LANGCHAIN,edX,"IBM: Mastering Generative AI: Agents with RAG and LangChain",https://www.edx.org/course/mastering-generative-ai-agents-rag-langchain,course,300,Compact 2-week practical course with verified certificate. RAG and LangChain fundamentals.,"langchain,rag,ibm,agents","python,llm-basics",intermediate,false,en
EDX-HARVARD-CS50P,edX,Harvard CS50P: Introduction to Programming with Python,https://www.edx.org/course/cs50s-introduction-to-programming-with-python,course,3600,Harvard's intro to Python. Audit free certificate paid. Excellent foundation for the agent-builder path.,"python,programming-basics,harvard","",beginner,true,en
UDEMY-COMPLETE-AGENTIC-AI,Udemy,The Complete Agentic AI Engineering Course (Ed Donner),https://www.udemy.com/course/agentic-ai-engineering/,course,1800,30+ hours 8 projects. Career Digital Twin SDR Agent Deep Research Stock Picker Engineering Team in Docker Operator-style Sidekick MCP Trading Floor capstone with 4 agents and 6 MCP servers. Most consistently recommended single paid course in 2026.,"agents,openai-agents-sdk,crewai,langgraph,autogen,mcp","python,llm-basics",intermediate,false,en
UDEMY-LANGCHAIN-LANGGRAPH,Udemy,LangChain: Agentic AI Engineering with LangChain & LangGraph,https://www.udemy.com/course/langchain-agentic-ai-engineering/,course,1500,Re-recorded for 2026 LangChain v1.2+. Deep on LangGraph internals.,"langchain,langgraph,agents","python,llm-basics",intermediate,false,en
UDEMY-PROD-AI-AGENTS,Udemy,Production AI Agents with LangChain + LangGraph (2026),https://www.udemy.com/course/production-ai-agents-langchain-langgraph/,course,1200,Focused on shipping. LCEL multi-agent orchestration security FastAPI deployment Docker.,"langchain,langgraph,fastapi,docker,production","python,langchain-basics",advanced,false,en
LANGCHAIN-ACADEMY,LangChain Academy,LangChain Academy (Free),https://academy.langchain.com/,course,1200,Official self-paced courses covering LangSmith for observability Deep Agents for long-running tasks and agent evaluation.,"langchain,langsmith,agents,observability,evaluation","python,langchain-basics",intermediate,true,en
DATABRICKS-AI-AGENT-FUND,Databricks Academy,AI Agent Fundamentals,https://www.databricks.com/learn/training/ai-agent-fundamentals,course,180,Free self-paced. Mosaic AI Agent Framework Agent Bricks Vector Search and MLflow for agent versioning.,"databricks,mosaic-ai,agent-framework,vector-search","python,databricks-basics",beginner,true,en
DATABRICKS-START-AGENTS,Databricks Academy,Get Started with AI Agents on Databricks,https://www.databricks.com/learn/training/get-started-ai-agents-databricks,course,120,Free. Hands-on intro to building agents on Databricks.,"databricks,agents,getting-started","python,databricks-basics",beginner,true,en
SNOWFLAKE-QUICKSTART-CORTEX-AGENTS,Snowflake,Snowflake Quickstart: Getting Started with Cortex Agents,https://quickstarts.snowflake.com/guide/getting_started_with_cortex_agents/,lab,90,Free hands-on Quickstart. Build your first agent on Snowflake Cortex.,"snowflake,cortex-agents,quickstart","sql,snowflake-basics",beginner,true,en
SNOWFLAKE-QUICKSTART-CORTEX-ANALYST,Snowflake,Snowflake Quickstart: Getting Started with Cortex Analyst,https://quickstarts.snowflake.com/guide/getting_started_with_cortex_analyst/,lab,90,Free hands-on Quickstart. Text-to-SQL with a semantic model — directly adjacent to BI work.,"snowflake,cortex-analyst,text-to-sql,semantic-models","sql,bi-fundamentals",intermediate,true,en
SNOWFLAKE-FROM-ZERO-TO-AGENTS,Snowflake,Snowflake Quickstart: From Zero to Agents,https://quickstarts.snowflake.com/guide/from_zero_to_agents/,lab,180,Free comprehensive Quickstart. Multi-agent system on Snowflake Cortex.,"snowflake,cortex-agents,multi-agent","sql,snowflake-basics",intermediate,true,en
CLOUDERA-DSCI-172,Cloudera Education,DSCI-172 Enabling Generative AI for the Enterprise,https://education.cloudera.com/courses/DSCI-172,course,60,Builds a chatbot on enterprise data with Cloudera AI. Free.,"cloudera,cloudera-ai,enterprise-genai,chatbot","python,cloudera-basics",beginner,true,en
CLOUDERA-DSCI-273,Cloudera Education,DSCI-273 Generative AI on Cloudera,https://education.cloudera.com/courses/DSCI-273,course,960,Paid 2-day instructor-led course for data scientists and ML engineers. Training fine-tuning augmenting and hosting LLMs on Cloudera.,"cloudera,llm-training,fine-tuning,enterprise","python,ml-basics,cloudera-basics",advanced,false,en
CLOUDERA-CCDE-LP,Cloudera Education,Cloudera Certified Data Engineer Learning Path,https://education.cloudera.com/learning-paths,course,3600,Official path to CCDE certification. Spark Hive Impala HDFS YARN.,"cloudera,spark,hive,impala,data-engineering,certification","python,sql,linux",intermediate,false,en
YT-LANGCHAIN-CHANNEL,YouTube,LangChain Official YouTube Channel,https://www.youtube.com/@LangChain,video,0,Weekly framework updates and patterns. Subscribe and watch new episodes.,"langchain,langgraph,patterns","",intermediate,true,en
YT-SENTDEX,YouTube,Sentdex,https://www.youtube.com/@sentdex,video,0,Python and ML with actual code on screen.,"python,ml,coding-on-screen","",beginner,true,en
YT-KRISH-NAIK,YouTube,Krish Naik,https://www.youtube.com/@krishnaik06,video,0,Hands-on GenAI development tutorials.,"genai,python,hands-on","",intermediate,true,en
YT-OPENAI,YouTube,OpenAI Official Channel,https://www.youtube.com/@OpenAI,video,0,Official tutorials and deep dives from OpenAI.,"openai,llm-basics,patterns","",intermediate,true,en
YT-ANDREJ-KARPATHY,YouTube,Andrej Karpathy,https://www.youtube.com/@AndrejKarpathy,video,0,Long-form intuition for how LLMs work under the hood.,"llms,deep-learning,foundations","python,ml-basics",advanced,true,en
YT-TWO-MINUTE-PAPERS,YouTube,Two Minute Papers,https://www.youtube.com/@TwoMinutePapers,video,0,Stay current on AI/ML research without reading papers.,"research-overview,ai-news","",beginner,true,en
ANTHROPIC-COOKBOOK,GitHub,Anthropic Cookbook,https://github.com/anthropics/anthropic-cookbook,article,180,Code recipes and examples for the Claude API. Tool use prompt caching agents and more.,"claude,anthropic-api,tool-use,prompt-caching","python,llm-basics",intermediate,true,en
ANTHROPIC-DOCS-AGENTS,Anthropic Docs,Building Agents with the Claude API,https://docs.anthropic.com/en/docs/build-with-claude/agent-skills,article,90,Official Anthropic agents documentation. Tool use computer use prompt caching extended thinking.,"claude,anthropic-api,tool-use,computer-use","python",intermediate,true,en
GOOGLE-MCP-IBM,Coursera,Build AI Agents using MCP (IBM),https://www.coursera.org/learn/build-ai-agents-using-mcp,course,360,Covers FastMCP STDIO and HTTP transports ReAct agents and security/elicitation workflows.,"mcp,fastmcp,react-agents,protocols","python,agents-basics",intermediate,false,en
CMU-AGENTIC-AI-PROGRAM,Carnegie Mellon University,CMU Agentic AI Program (Executive Education),https://executiveeducation.cmu.edu/agentic-ai,course,1680,7 weeks live online with capstone. LLM foundations agent architectures (memory tools reasoning loops) RAG multi-agent systems evaluation observability. CMU faculty-led.,"agents,architecture,rag,multi-agent,evaluation,observability,cmu","python,llm-basics",advanced,false,en
STANFORD-CS329A,Stanford Online,CS329A Self-Improving AI Agents,https://web.stanford.edu/class/cs329a/,course,1800,Graduate seminar (when offered). Constitutional AI verifiers test-time compute tool use multi-step reasoning evaluation frameworks.,"self-improving-agents,test-time-compute,evaluation,research","python,ml,llm-basics",advanced,true,en
STANFORD-CS224G,Stanford Online,CS 224G Building and Scaling LLM Applications,https://web.stanford.edu/class/cs224g/,course,1800,Course materials and lectures publicly available. Practical: context engineering agent orchestration patterns (ReAct multi-agent) LangGraph CrewAI evaluation.,"context-engineering,react-agents,multi-agent,langgraph,crewai,evaluation","python,llm-basics",advanced,true,en
CMU-MLIP-CMU,Carnegie Mellon University,CMU MLiP / AI Engineering (17-645/17-445),https://github.com/mlip-cmu/2025,course,1500,Course materials free on GitHub. Building deploying assuring and maintaining ML/LLM/agent systems in production. Recently revised for AI agents.,"production,deployment,monitoring,ml-systems","python,ml-basics",advanced,true,en
HARVARD-CS50P,YouTube,freeCodeCamp Python in 4 Hours (CS50P-style),https://www.youtube.com/watch?v=eWRfhZUzrAc,video,240,Free 4-hour Python video on YouTube. Quick refresher if you only know SQL and need Python at working level.,"python,programming-basics","",beginner,true,en
GITHUB-SKILLS,GitHub,GitHub Skills (Free),https://skills.github.com/,interactive,180,Free interactive courses to learn Git GitHub Actions and developer workflows. Covered in an afternoon.,"git,github,version-control","",beginner,true,en
DLAI-NEWSLETTER-BATCH,DeepLearning.AI,The Batch (Newsletter),https://www.deeplearning.ai/the-batch/,article,0,Free weekly AI/ML newsletter from Andrew Ng's DeepLearning.AI team. The default for staying current.,"newsletter,ai-news,research-summaries","",beginner,true,en
KAGGLE-LEARN,Kaggle,Kaggle Learn,https://www.kaggle.com/learn,course,1200,Free hands-on micro-courses. Python pandas SQL ML and Intro to AI Ethics.,"python,pandas,sql,ml,kaggle","",beginner,true,en
HUGGINGFACE-AGENTS-COURSE,Hugging Face,Hugging Face AI Agents Course,https://huggingface.co/learn/agents-course,course,720,Free comprehensive course on agents covering frameworks tools and deployment. Hugging Face's flagship agents course.,"agents,smolagents,langgraph,llamaindex,huggingface","python,llm-basics",intermediate,true,en
DEGREED-PATHWAYS-AI-LITERACY,Degreed,AI Literacy Pathway (Public Catalog),https://degreed.com/,course,300,Aggregator pathway. Many enterprise customers have Degreed for L&D content discovery; pathway entries link out to underlying providers.,"ai-literacy,fundamentals,degreed-pathway","",beginner,true,en
NVIDIA-DEEP-LEARNING-COURSE,NVIDIA DLI,Fundamentals of Deep Learning,https://www.nvidia.com/en-us/training/instructor-led-workshops/fundamentals-of-deep-learning/,course,480,Free instructor-led workshop. Deep learning foundations for the AI builder. Hands-on with PyTorch.,"deep-learning,pytorch,fundamentals,nvidia","python,linear-algebra-basics",intermediate,true,en
